pK,pL,value
1/2<=pK<=9/10,1/2<=pL<=9/10, 	AllViolated
1/10<=pK<=3/10,1/10<=pL<=3/10, 	AllSat
3/10<=pK<=1/2,1/10<=pL<=3/10, 	AllSat
1/10<=pK<=3/10,3/10<=pL<=1/2, 	AllSat
1/2<=pK<=7/10,1/10<=pL<=3/10, 	AllSat
1/10<=pK<=3/10,1/2<=pL<=7/10, 	AllSat
3/10<=pK<=2/5,3/10<=pL<=2/5, 	AllSat
2/5<=pK<=1/2,3/10<=pL<=2/5, 	AllSat
3/10<=pK<=2/5,2/5<=pL<=1/2, 	AllSat
7/10<=pK<=4/5,1/10<=pL<=1/5, 	AllSat
4/5<=pK<=9/10,1/10<=pL<=1/5, 	AllSat
3/5<=pK<=7/10,2/5<=pL<=1/2, 	AllViolated
4/5<=pK<=9/10,3/10<=pL<=2/5, 	AllViolated
7/10<=pK<=4/5,2/5<=pL<=1/2, 	AllViolated
4/5<=pK<=9/10,2/5<=pL<=1/2, 	AllViolated
2/5<=pK<=1/2,3/5<=pL<=7/10, 	AllViolated
1/10<=pK<=1/5,7/10<=pL<=4/5, 	AllSat
1/10<=pK<=1/5,4/5<=pL<=9/10, 	AllSat
2/5<=pK<=1/2,7/10<=pL<=4/5, 	AllViolated
3/10<=pK<=2/5,4/5<=pL<=9/10, 	AllViolated
2/5<=pK<=1/2,4/5<=pL<=9/10, 	AllViolated
2/5<=pK<=9/20,2/5<=pL<=9/20, 	AllSat
7/10<=pK<=3/4,1/5<=pL<=1/4, 	AllSat
3/4<=pK<=4/5,1/5<=pL<=1/4, 	AllSat
4/5<=pK<=17/20,1/5<=pL<=1/4, 	AllSat
1/2<=pK<=11/20,3/10<=pL<=7/20, 	AllSat
11/20<=pK<=3/5,3/10<=pL<=7/20, 	AllSat
13/20<=pK<=7/10,7/20<=pL<=2/5, 	AllViolated
11/20<=pK<=3/5,2/5<=pL<=9/20, 	AllViolated
1/2<=pK<=11/20,9/20<=pL<=1/2, 	AllViolated
11/20<=pK<=3/5,9/20<=pL<=1/2, 	AllViolated
3/4<=pK<=4/5,3/10<=pL<=7/20, 	AllViolated
7/10<=pK<=3/4,7/20<=pL<=2/5, 	AllViolated
3/4<=pK<=4/5,7/20<=pL<=2/5, 	AllViolated
3/10<=pK<=7/20,1/2<=pL<=11/20, 	AllSat
3/10<=pK<=7/20,11/20<=pL<=3/5, 	AllSat
9/20<=pK<=1/2,1/2<=pL<=11/20, 	AllViolated
2/5<=pK<=9/20,11/20<=pL<=3/5, 	AllViolated
9/20<=pK<=1/2,11/20<=pL<=3/5, 	AllViolated
7/20<=pK<=2/5,13/20<=pL<=7/10, 	AllViolated
1/5<=pK<=1/4,7/10<=pL<=3/4, 	AllSat
1/5<=pK<=1/4,3/4<=pL<=4/5, 	AllSat
1/5<=pK<=1/4,4/5<=pL<=17/20, 	AllSat
7/20<=pK<=2/5,7/10<=pL<=3/4, 	AllViolated
3/10<=pK<=7/20,3/4<=pL<=4/5, 	AllViolated
7/20<=pK<=2/5,3/4<=pL<=4/5, 	AllViolated
9/20<=pK<=19/40,2/5<=pL<=17/40, 	AllSat
19/40<=pK<=1/2,2/5<=pL<=17/40, 	AllSat
9/20<=pK<=19/40,17/40<=pL<=9/20, 	AllSat
2/5<=pK<=17/40,9/20<=pL<=19/40, 	AllSat
17/40<=pK<=9/20,9/20<=pL<=19/40, 	AllSat
2/5<=pK<=17/40,19/40<=pL<=1/2, 	AllSat
19/40<=pK<=1/2,19/40<=pL<=1/2, 	AllViolated
7/10<=pK<=29/40,1/4<=pL<=11/40, 	AllSat
29/40<=pK<=3/4,1/4<=pL<=11/40, 	AllSat
7/10<=pK<=29/40,11/40<=pL<=3/10, 	AllSat
3/4<=pK<=31/40,1/4<=pL<=11/40, 	AllSat
17/20<=pK<=7/8,1/5<=pL<=9/40, 	AllSat
7/8<=pK<=9/10,1/5<=pL<=9/40, 	AllSat
4/5<=pK<=33/40,11/40<=pL<=3/10, 	AllViolated
33/40<=pK<=17/20,11/40<=pL<=3/10, 	AllViolated
7/8<=pK<=9/10,1/4<=pL<=11/40, 	AllViolated
17/20<=pK<=7/8,11/40<=pL<=3/10, 	AllViolated
7/8<=pK<=9/10,11/40<=pL<=3/10, 	AllViolated
1/2<=pK<=21/40,7/20<=pL<=3/8, 	AllSat
21/40<=pK<=11/20,7/20<=pL<=3/8, 	AllSat
1/2<=pK<=21/40,3/8<=pL<=2/5, 	AllSat
11/20<=pK<=23/40,7/20<=pL<=3/8, 	AllSat
3/5<=pK<=5/8,3/10<=pL<=13/40, 	AllSat
5/8<=pK<=13/20,3/10<=pL<=13/40, 	AllSat
27/40<=pK<=7/10,13/40<=pL<=7/20, 	AllViolated
5/8<=pK<=13/20,7/20<=pL<=3/8, 	AllViolated
3/5<=pK<=5/8,3/8<=pL<=2/5, 	AllViolated
5/8<=pK<=13/20,3/8<=pL<=2/5, 	AllViolated
21/40<=pK<=11/20,17/40<=pL<=9/20, 	AllViolated
7/10<=pK<=29/40,13/40<=pL<=7/20, 	AllViolated
29/40<=pK<=3/4,13/40<=pL<=7/20, 	AllViolated
7/20<=pK<=3/8,1/2<=pL<=21/40, 	AllSat
3/8<=pK<=2/5,1/2<=pL<=21/40, 	AllSat
7/20<=pK<=3/8,21/40<=pL<=11/20, 	AllSat
7/20<=pK<=3/8,11/20<=pL<=23/40, 	AllSat
17/40<=pK<=9/20,21/40<=pL<=11/20, 	AllViolated
3/10<=pK<=13/40,3/5<=pL<=5/8, 	AllSat
3/10<=pK<=13/40,5/8<=pL<=13/20, 	AllSat
3/8<=pK<=2/5,3/5<=pL<=5/8, 	AllViolated
7/20<=pK<=3/8,5/8<=pL<=13/20, 	AllViolated
3/8<=pK<=2/5,5/8<=pL<=13/20, 	AllViolated
13/40<=pK<=7/20,27/40<=pL<=7/10, 	AllViolated
1/4<=pK<=11/40,7/10<=pL<=29/40, 	AllSat
11/40<=pK<=3/10,7/10<=pL<=29/40, 	AllSat
1/4<=pK<=11/40,29/40<=pL<=3/4, 	AllSat
1/4<=pK<=11/40,3/4<=pL<=31/40, 	AllSat
11/40<=pK<=3/10,4/5<=pL<=33/40, 	AllViolated
11/40<=pK<=3/10,33/40<=pL<=17/20, 	AllViolated
1/5<=pK<=9/40,17/20<=pL<=7/8, 	AllSat
1/5<=pK<=9/40,7/8<=pL<=9/10, 	AllSat
11/40<=pK<=3/10,17/20<=pL<=7/8, 	AllViolated
1/4<=pK<=11/40,7/8<=pL<=9/10, 	AllViolated
11/40<=pK<=3/10,7/8<=pL<=9/10, 	AllViolated
13/40<=pK<=7/20,7/10<=pL<=29/40, 	AllViolated
13/40<=pK<=7/20,29/40<=pL<=3/4, 	AllViolated
19/40<=pK<=39/80,17/40<=pL<=7/16, 	AllSat
17/40<=pK<=7/16,19/40<=pL<=39/80, 	AllSat
9/20<=pK<=37/80,9/20<=pL<=37/80, 	AllSat
39/80<=pK<=1/2,9/20<=pL<=37/80, 	AllViolated
19/40<=pK<=39/80,37/80<=pL<=19/40, 	AllViolated
39/80<=pK<=1/2,37/80<=pL<=19/40, 	AllViolated
37/80<=pK<=19/40,19/40<=pL<=39/80, 	AllViolated
9/20<=pK<=37/80,39/80<=pL<=1/2, 	AllViolated
37/80<=pK<=19/40,39/80<=pL<=1/2, 	AllViolated
29/40<=pK<=59/80,11/40<=pL<=23/80, 	AllSat
59/80<=pK<=3/4,11/40<=pL<=23/80, 	AllSat
31/40<=pK<=63/80,1/4<=pL<=21/80, 	AllSat
63/80<=pK<=4/5,1/4<=pL<=21/80, 	AllSat
31/40<=pK<=63/80,21/80<=pL<=11/40, 	AllSat
61/80<=pK<=31/40,23/80<=pL<=3/10, 	AllViolated
31/40<=pK<=63/80,23/80<=pL<=3/10, 	AllViolated
63/80<=pK<=4/5,23/80<=pL<=3/10, 	AllViolated
17/20<=pK<=69/80,9/40<=pL<=19/80, 	AllSat
69/80<=pK<=7/8,9/40<=pL<=19/80, 	AllSat
17/20<=pK<=69/80,19/80<=pL<=1/4, 	AllSat
7/8<=pK<=71/80,9/40<=pL<=19/80, 	AllSat
71/80<=pK<=9/10,9/40<=pL<=19/80, 	AllSat
4/5<=pK<=13/16,1/4<=pL<=21/80, 	AllSat
13/16<=pK<=33/40,1/4<=pL<=21/80, 	AllSat
67/80<=pK<=17/20,21/80<=pL<=11/40, 	AllViolated
17/20<=pK<=69/80,21/80<=pL<=11/40, 	AllViolated
69/80<=pK<=7/8,21/80<=pL<=11/40, 	AllViolated
21/40<=pK<=43/80,3/8<=pL<=31/80, 	AllSat
43/80<=pK<=11/20,3/8<=pL<=31/80, 	AllSat
21/40<=pK<=43/80,31/80<=pL<=2/5, 	AllSat
23/40<=pK<=47/80,7/20<=pL<=29/80, 	AllSat
47/80<=pK<=3/5,7/20<=pL<=29/80, 	AllSat
9/16<=pK<=23/40,31/80<=pL<=2/5, 	AllViolated
47/80<=pK<=3/5,3/8<=pL<=31/80, 	AllViolated
23/40<=pK<=47/80,31/80<=pL<=2/5, 	AllViolated
47/80<=pK<=3/5,31/80<=pL<=2/5, 	AllViolated
3/5<=pK<=49/80,13/40<=pL<=27/80, 	AllSat
49/80<=pK<=5/8,13/40<=pL<=27/80, 	AllSat
3/5<=pK<=49/80,27/80<=pL<=7/20, 	AllSat
5/8<=pK<=51/80,13/40<=pL<=27/80, 	AllSat
13/20<=pK<=53/80,3/10<=pL<=5/16, 	AllSat
53/80<=pK<=27/40,3/10<=pL<=5/16, 	AllSat
13/20<=pK<=53/80,5/16<=pL<=13/40, 	AllSat
27/40<=pK<=11/16,3/10<=pL<=5/16, 	AllSat
13/20<=pK<=53/80,27/80<=pL<=7/20, 	AllViolated
53/80<=pK<=27/40,27/80<=pL<=7/20, 	AllViolated
49/80<=pK<=5/8,29/80<=pL<=3/8, 	AllViolated
1/2<=pK<=41/80,2/5<=pL<=33/80, 	AllSat
41/80<=pK<=21/40,2/5<=pL<=33/80, 	AllSat
43/80<=pK<=11/20,33/80<=pL<=17/40, 	AllViolated
41/80<=pK<=21/40,17/40<=pL<=7/16, 	AllViolated
1/2<=pK<=41/80,7/16<=pL<=9/20, 	AllViolated
41/80<=pK<=21/40,7/16<=pL<=9/20, 	AllViolated
7/10<=pK<=57/80,5/16<=pL<=13/40, 	AllViolated
57/80<=pK<=29/40,5/16<=pL<=13/40, 	AllViolated
59/80<=pK<=3/4,3/10<=pL<=5/16, 	AllViolated
29/40<=pK<=59/80,5/16<=pL<=13/40, 	AllViolated
59/80<=pK<=3/4,5/16<=pL<=13/40, 	AllViolated
3/8<=pK<=31/80,21/40<=pL<=43/80, 	AllSat
31/80<=pK<=2/5,21/40<=pL<=43/80, 	AllSat
3/8<=pK<=31/80,43/80<=pL<=11/20, 	AllSat
31/80<=pK<=2/5,9/16<=pL<=23/40, 	AllViolated
7/20<=pK<=29/80,23/40<=pL<=47/80, 	AllSat
7/20<=pK<=29/80,47/80<=pL<=3/5, 	AllSat
31/80<=pK<=2/5,23/40<=pL<=47/80, 	AllViolated
3/8<=pK<=31/80,47/80<=pL<=3/5, 	AllViolated
31/80<=pK<=2/5,47/80<=pL<=3/5, 	AllViolated
2/5<=pK<=33/80,1/2<=pL<=41/80, 	AllSat
2/5<=pK<=33/80,41/80<=pL<=21/40, 	AllSat
7/16<=pK<=9/20,1/2<=pL<=41/80, 	AllViolated
17/40<=pK<=7/16,41/80<=pL<=21/40, 	AllViolated
7/16<=pK<=9/20,41/80<=pL<=21/40, 	AllViolated
33/80<=pK<=17/40,43/80<=pL<=11/20, 	AllViolated
13/40<=pK<=27/80,3/5<=pL<=49/80, 	AllSat
27/80<=pK<=7/20,3/5<=pL<=49/80, 	AllSat
13/40<=pK<=27/80,49/80<=pL<=5/8, 	AllSat
13/40<=pK<=27/80,5/8<=pL<=51/80, 	AllSat
